,Bs_Name,故障前节点电压幅值,故障前节点电压相角,故障中节点电压幅值1,故障中节点电压相角1,故障中节点电压幅值2,故障中节点电压相角2,故障后节点电压幅值,故障后节点电压相角
0,Gen1A-1,1.0,358.92264,0.99724,358.86167,1.00139,358.69209,0.99662,358.65524
1,Gen1A-10,0.99974,349.65935,0.99256,348.94471,0.99706,347.98404,0.99698,347.37741
2,Gen1A-11,1.0,349.68644,0.99311,349.00144,0.99747,348.01331,0.99584,347.41482
3,Gen1A-2,1.0,357.97005,0.99677,357.85991,1.00098,357.62853,0.99691,357.53744
4,Gen1A-3,1.0,359.33597,0.99746,359.29756,1.00148,359.17074,0.99655,359.15628
5,Gen1A-4,1.0,49.99998,0.99789,49.98965,1.00205,49.89852,0.9976,49.60248
6,Gen1A-5,1.0,349.94507,0.99269,349.21537,0.99792,348.19622,0.99723,347.6101
7,Gen1A-6,0.99873,349.07845,0.99164,348.35915,0.99608,347.36836,0.99626,346.75614
8,Gen1A-7,1.0,359.47023,0.99745,359.43108,1.0009,359.28255,0.99337,359.28269
9,Gen1A-8,0.99758,353.21166,0.99308,352.91945,0.99615,352.44289,0.99322,352.16368
10,Gen1A-9,0.99611,354.01638,0.99178,353.75339,0.99501,353.31311,0.99179,353.0657
11,Gen1B-1,1.00984,10.37858,1.00871,10.50343,1.00709,16.10129,1.0079,13.9334
12,Gen1B-11,0.99999,7.02756,0.99753,7.05571,0.99389,11.39378,0.99779,9.52638
13,Gen1B-12,0.99778,6.4718,0.99518,6.48813,0.99037,10.79222,0.99401,8.93582
14,Gen1B-13,1.00873,9.93964,1.0077,10.07004,1.00555,15.7779,1.00618,13.58621
15,Gen1B-14,1.01203,10.20758,1.01115,10.34899,1.00821,16.27396,1.00813,14.03122
16,Gen1B-2,1.0082,9.40245,1.00677,9.5054,1.00506,14.74619,1.00653,12.6673
17,Gen1B-3,1.01278,14.30337,1.01213,14.46018,1.01233,20.56547,1.01113,18.27145
18,Gen1B-3-1,1.01278,14.30337,1.01213,14.46018,1.01233,20.56547,1.01113,18.27145
19,Gen1B-4,1.00976,10.24269,1.00869,10.37115,1.00692,16.03054,1.00763,13.84906
20,Gen1B-4-1,1.01738,9.32605,1.01596,9.43077,1.01396,14.7253,1.01541,12.63298
21,Gen1B-5,1.00709,9.03109,1.00618,9.16863,1.00256,15.05331,1.00295,12.8224
22,Gen1B-6,1.00616,8.66382,1.00527,8.803,1.00088,14.73455,1.00095,12.49448
23,Gen1B-6-1,1.0065,8.94898,1.00564,9.08993,1.00184,15.04064,1.00225,12.79327
24,Gen1B-7,1.01203,10.20757,1.01115,10.34899,1.00821,16.27396,1.00813,14.03121
25,Gen2E-17,1.00083,358.47508,0.66837,350.70503,0.38174,340.12771,0.05344,137.3094
26,Gen2E-18,0.99988,358.55603,0.72543,352.28457,0.42809,345.59105,0.09278,143.0341
27,Gen2E-2,0.99958,358.89852,0.74768,352.99236,0.46868,347.21482,0.1163,144.16395
28,Gen2E-30,0.99954,358.06397,0.67269,350.69795,0.37756,339.96265,0.04097,118.76523
29,Gen2E-33,0.99956,357.34113,0.69708,350.31628,0.3974,339.12714,0.06252,116.42307
30,Gen2E-34,0.9996,358.89498,0.74683,352.97359,0.46935,347.2233,0.11755,139.97489
31,Gen2E-35,0.99738,357.34425,0.72042,350.6882,0.42035,340.86687,0.08575,124.21149
32,Gen2E-36,0.99783,357.35576,0.70783,350.46899,0.40434,340.06329,0.07585,121.42985
33,Gen2E-37,0.99961,357.77141,0.77921,352.81121,0.50269,344.98479,0.07236,113.05633
34,Gen2E-5,0.99573,359.39226,0.62108,348.361,0.39265,335.60149,0.06583,158.67716
35,Gen2E-7,0.99957,359.12245,0.74254,353.27206,0.45527,348.05905,0.10784,148.75966
36,Gen2W-1,0.99944,5.30047,0.15022,328.17777,0.27804,274.47764,0.20285,334.43045
37,Gen2W-11,0.99944,5.22766,0.13612,320.72736,0.27664,275.12344,0.20572,330.1087
38,Gen2W-12,0.99945,4.85749,0.18267,333.72231,0.26971,276.53145,0.19219,328.2778
39,Gen2W-21,0.99944,5.07524,0.15837,329.9179,0.27294,273.92924,0.20664,327.51935
40,Gen2W-24,0.99933,4.3638,0.17488,331.11005,0.25976,271.06766,0.20464,325.69674
41,Gen2W-25,0.99849,4.65633,0.13122,310.37636,0.2697,275.98765,0.19566,330.04136
42,Gen2W-5,0.99944,5.19041,0.1446,326.19548,0.27971,273.74684,0.21463,333.19041
43,Gen2W-6,0.99822,4.626,0.16356,326.29976,0.26961,278.0798,0.18935,330.81651
44,Gen3D-10,0.99723,5.21419,0.98494,4.64278,0.96507,351.6756,0.96045,231.78747
45,Gen3D-13,1.00098,5.46362,0.99013,4.97222,0.97208,352.07122,0.97387,232.14168
46,Gen3D-15,0.99715,5.47699,0.98226,4.78038,0.96137,351.71612,0.95571,231.79939
47,Gen3D-17,0.99349,4.7628,0.98169,4.20822,0.96193,351.23758,0.95946,231.33387
48,Gen3D-20,1.00126,6.34186,0.99134,5.92266,0.97423,353.12845,0.97912,233.1944
49,Gen3D-23,0.99638,5.41177,0.9816,4.71987,0.96042,351.66524,0.95504,231.73716
50,Gen3D-25,0.99478,5.48591,0.97798,4.6945,0.95506,351.57654,0.94996,231.58389
51,Gen3D-26,0.99784,5.56485,0.98311,4.87777,0.96219,351.82987,0.95811,231.8922
52,Gen3D-29,0.99563,5.62378,0.97852,4.82048,0.9555,351.70046,0.95094,231.69397
53,Gen3D-30,0.98896,5.10097,0.97,4.1923,0.9445,350.98795,0.93608,230.95288
54,Gen3D-31,0.99536,5.29517,0.98058,4.60016,0.95922,351.53781,0.95385,231.60678
55,Gen3D-32,0.99369,5.15668,0.97858,4.4404,0.95675,351.35528,0.95138,231.41194
56,Gen3D-4,0.99982,5.75322,0.98544,5.08606,0.96438,352.05546,0.95868,232.1352
