,Bs_Name,故障前节点电压幅值,故障前节点电压相角,故障中节点电压幅值1,故障中节点电压相角1,故障中节点电压幅值2,故障中节点电压相角2,故障后节点电压幅值,故障后节点电压相角
0,Gen1A-1,1.0,358.92264,0.9985,358.88722,0.99945,358.74989,0.99629,358.66206
1,Gen1A-10,0.99974,349.65935,0.99591,349.24338,0.988,348.39332,1.00009,347.41978
2,Gen1A-11,1.0,349.68644,0.99632,349.28825,0.98881,348.40993,0.99919,347.45561
3,Gen1A-2,1.0,357.97005,0.99824,357.90592,0.99855,357.71769,0.99674,357.54315
4,Gen1A-3,1.0,359.33597,0.99862,359.3137,0.99974,359.21172,0.99615,359.16272
5,Gen1A-4,1.0,49.99998,0.99885,49.99381,1.00062,49.92465,0.99692,49.6678
6,Gen1A-5,1.0,349.94507,0.9961,349.51998,0.98877,348.63175,1.00038,347.65047
7,Gen1A-6,0.99873,349.07845,0.99495,348.66059,0.98681,347.77837,0.9994,346.80075
8,Gen1A-7,1.0,359.47023,0.99861,359.44758,0.99926,359.32647,0.99356,359.28779
9,Gen1A-8,0.99758,353.21166,0.99515,353.0424,0.99173,352.63283,0.99433,352.17674
10,Gen1A-9,0.99611,354.01638,0.99377,353.86391,0.99092,353.49025,0.9927,353.07652
11,Gen1B-1,1.00984,10.37858,1.00838,10.42078,1.00814,14.2934,1.01273,13.96925
12,Gen1B-11,0.99999,7.02756,0.99817,7.02333,0.99495,10.01326,1.0014,9.61852
13,Gen1B-12,0.99778,6.4718,0.99585,6.45933,0.99165,9.42908,0.99778,9.01901
14,Gen1B-13,1.00873,9.93964,1.00718,9.97997,1.00683,13.93343,1.0118,13.58797
15,Gen1B-14,1.01203,10.20758,1.01038,10.24907,1.00981,14.35764,1.01442,14.00852
16,Gen1B-2,1.0082,9.40245,1.00673,9.43648,1.006,13.05714,1.01083,12.73313
17,Gen1B-3,1.01278,14.30337,1.01171,14.37167,1.01277,18.58769,1.01428,18.40324
18,Gen1B-3-1,1.01278,14.30337,1.01171,14.37167,1.01277,18.58769,1.01428,18.40324
19,Gen1B-4,1.00976,10.24269,1.00827,10.28475,1.00806,14.20198,1.01281,13.8694
20,Gen1B-4-1,1.01738,9.32605,1.01587,9.35958,1.01501,13.0191,1.01995,12.68852
21,Gen1B-5,1.00709,9.03109,1.0053,9.06425,1.00443,13.15097,1.01024,12.75551
22,Gen1B-6,1.00616,8.66382,1.00427,8.69354,1.00302,12.81712,1.00885,12.40727
23,Gen1B-6-1,1.0065,8.94898,1.00468,8.98158,1.00381,13.11644,1.00991,12.7091
24,Gen1B-7,1.01203,10.20757,1.01039,10.24907,1.00981,14.35764,1.01442,14.00851
25,Gen2E-17,1.00083,358.47508,0.83221,353.43126,0.63401,357.62901,0.16602,214.62212
26,Gen2E-18,0.99988,358.55603,0.86097,354.23721,0.66959,355.77645,0.147,228.4321
27,Gen2E-2,0.99958,358.89852,0.87192,354.70155,0.69436,355.01132,0.18104,239.59925
28,Gen2E-30,0.99954,358.06397,0.83408,353.2946,0.63196,357.06505,0.18677,210.6461
29,Gen2E-33,0.99956,357.34113,0.8466,352.76331,0.64177,354.8582,0.18498,210.77131
30,Gen2E-34,0.9996,358.89498,0.87149,354.69128,0.69538,354.99852,0.18588,240.41765
31,Gen2E-35,0.99738,357.34425,0.85738,352.88585,0.65712,353.77118,0.17283,218.52485
32,Gen2E-36,0.99783,357.35576,0.85121,352.81013,0.6471,354.39701,0.16618,214.50379
33,Gen2E-37,0.99961,357.77141,0.88819,354.25252,0.71115,352.01177,0.24657,231.65299
34,Gen2E-5,0.99573,359.39226,0.80509,352.23261,0.62017,359.2016,0.2368,210.69189
35,Gen2E-7,0.99957,359.12245,0.86945,354.94487,0.68715,355.73144,0.16613,239.55023
36,Gen2W-1,0.99944,5.30047,0.55811,355.97431,0.49486,36.3037,0.31433,227.09064
37,Gen2W-11,0.99944,5.22766,0.54725,355.37119,0.49412,36.0807,0.31284,226.7693
38,Gen2W-12,0.99945,4.85749,0.57531,355.65011,0.49565,33.93942,0.30468,226.22062
39,Gen2W-21,0.99944,5.07524,0.55748,355.59978,0.49431,36.63842,0.30982,226.98263
40,Gen2W-24,0.99933,4.3638,0.56584,354.74864,0.50297,35.20176,0.31299,225.93843
41,Gen2W-25,0.99849,4.65633,0.53302,353.67727,0.49471,33.98176,0.30831,225.87018
42,Gen2W-5,0.99944,5.19041,0.55465,355.74776,0.50206,35.4725,0.32594,226.42536
43,Gen2W-6,0.99822,4.626,0.56281,354.75805,0.49627,32.67491,0.3092,225.41785
44,Gen3D-10,0.99723,5.21419,0.9908,4.79714,0.97072,351.87224,0.99083,263.38806
45,Gen3D-13,1.00098,5.46362,0.99534,5.09792,0.97703,352.21916,1.00256,263.74695
46,Gen3D-15,0.99715,5.47699,0.98932,4.9773,0.96816,351.98142,0.98955,263.36229
47,Gen3D-17,0.99349,4.7628,0.98733,4.35752,0.96742,351.42439,0.98964,262.95677
48,Gen3D-20,1.00126,6.34186,0.9961,6.02371,0.97863,353.23305,1.00629,264.78443
49,Gen3D-23,0.99638,5.41177,0.98862,4.9153,0.96724,351.92577,0.98856,263.30302
50,Gen3D-25,0.99478,5.48591,0.98595,4.92413,0.96296,351.88634,0.98565,263.12076
51,Gen3D-26,0.99784,5.56485,0.99011,5.07121,0.96895,352.08722,0.99147,263.44857
52,Gen3D-29,0.99563,5.62378,0.98664,5.05382,0.96354,352.01532,0.98688,263.21904
53,Gen3D-30,0.98896,5.10097,0.97899,4.46367,0.95369,351.35848,0.9743,262.49372
54,Gen3D-31,0.99536,5.29517,0.9876,4.79702,0.96607,351.80041,0.98742,263.17736
55,Gen3D-32,0.99369,5.15668,0.98576,4.64504,0.9638,351.62955,0.98542,262.9841
56,Gen3D-4,0.99982,5.75322,0.99226,5.27254,0.97098,352.30401,0.9911,263.68682
57,Gen3D-5,0.99832,5.59331,0.99076,5.10978,0.96954,352.13223,0.99115,263.50727
58,Gen3L-10,0.99156,6.37629,0.98389,5.91881,0.96225,353.06107,0.97789,264.60968
