,Bs_Name,故障前节点电压幅值,故障前节点电压相角,故障中节点电压幅值1,故障中节点电压相角1,故障中节点电压幅值2,故障中节点电压相角2,故障后节点电压幅值,故障后节点电压相角
0,Gen1A-1,1.0,358.92264,0.99879,358.89202,0.99976,358.80455,0.99893,358.84999
1,Gen1A-10,0.99974,349.65935,0.99674,349.3015,0.98712,348.77643,1.00142,349.14112
2,Gen1A-11,1.0,349.68644,0.99712,349.34398,0.98794,348.79564,1.00152,349.16896
3,Gen1A-2,1.0,357.97005,0.99859,357.91463,0.99882,357.79984,0.99928,357.86119
4,Gen1A-3,1.0,359.33597,0.99888,359.31671,1.00006,359.25045,0.9988,359.28357
5,Gen1A-4,1.0,49.99998,0.99907,49.99409,1.00095,49.94003,0.99882,49.90359
6,Gen1A-5,1.0,349.94507,0.99695,349.57929,0.98799,349.02157,1.00171,349.44486
7,Gen1A-6,0.99873,349.07845,0.99577,348.71918,0.98577,348.16784,1.00043,348.55846
8,Gen1A-7,1.0,359.47023,0.99888,359.45063,0.99958,359.37156,0.99801,359.41331
9,Gen1A-8,0.99758,353.21166,0.99564,353.06591,0.99158,352.81808,0.99745,352.94905
10,Gen1A-9,0.99611,354.01638,0.99424,353.885,0.99086,353.65916,0.99582,353.78094
11,Gen1B-1,1.00984,10.37858,1.00853,10.41212,1.00845,13.8703,1.00759,7.96675
12,Gen1B-11,0.99999,7.02756,0.99843,7.02154,0.99582,9.72383,0.99936,4.97222
13,Gen1B-12,0.99778,6.4718,0.99613,6.45851,0.99255,9.14838,0.99742,4.42493
14,Gen1B-13,1.00873,9.93964,1.00732,9.97115,1.00695,13.50887,1.00637,7.49442
15,Gen1B-14,1.01203,10.20758,1.01052,10.23968,1.00971,13.91804,1.00943,7.70145
16,Gen1B-2,1.0082,9.40245,1.0069,9.42925,1.00648,12.66634,1.00615,7.09131
17,Gen1B-3,1.01278,14.30337,1.0118,14.36025,1.01311,18.08172,1.01009,11.75845
18,Gen1B-3-1,1.01278,14.30337,1.0118,14.36025,1.01311,18.08172,1.01009,11.75845
19,Gen1B-4,1.00976,10.24269,1.00841,10.27593,1.00828,13.77667,1.00743,7.81251
20,Gen1B-4-1,1.01738,9.32605,1.01604,9.35229,1.01546,12.6258,1.01536,6.99926
21,Gen1B-5,1.00709,9.03109,1.00545,9.05546,1.00416,12.72905,1.00461,6.53103
22,Gen1B-6,1.00616,8.66382,1.00442,8.68483,1.0026,12.39725,1.00351,6.14879
23,Gen1B-6-1,1.0065,8.94898,1.00482,8.97265,1.00347,12.69218,1.00406,6.42895
24,Gen1B-7,1.01203,10.20757,1.01052,10.23967,1.00971,13.91803,1.00943,7.70144
25,Gen2E-17,1.00083,358.47508,0.86173,352.00422,0.76147,322.02465,1.08615,187.67088
26,Gen2E-18,0.99988,358.55603,0.88429,353.05656,0.78036,321.93937,1.08113,188.31174
27,Gen2E-2,0.99958,358.89852,0.8926,353.6123,0.79546,322.71089,1.07537,189.43457
28,Gen2E-30,0.99954,358.06397,0.86349,351.90048,0.75909,321.60438,1.08328,187.30832
29,Gen2E-33,0.99956,357.34113,0.87364,351.49102,0.76317,320.54443,1.07983,187.00165
30,Gen2E-34,0.9996,358.89498,0.89224,353.59843,0.79671,322.68271,1.07731,189.38821
31,Gen2E-35,0.99738,357.34425,0.88137,351.71831,0.77022,320.43862,1.07581,187.38654
32,Gen2E-36,0.99783,357.35576,0.87669,351.58929,0.7649,320.38995,1.07873,187.09218
33,Gen2E-37,0.99961,357.77141,0.90667,353.32295,0.80334,321.52348,1.06318,189.23124
34,Gen2E-5,0.99573,359.39226,0.83684,350.5378,0.75269,322.80841,1.07367,188.58164
35,Gen2E-7,0.99957,359.12245,0.89056,353.8249,0.79077,322.66654,1.07559,189.22041
36,Gen2W-1,0.99944,5.30047,0.62957,350.37468,0.67699,337.52884,1.09954,190.5867
37,Gen2W-11,0.99944,5.22766,0.6193,349.48788,0.6768,337.45257,1.10003,190.55417
38,Gen2W-12,0.99945,4.85749,0.64949,350.76818,0.67896,336.4914,1.10006,190.34493
39,Gen2W-21,0.99944,5.07524,0.64353,350.98331,0.6762,337.56298,1.10326,190.39957
40,Gen2W-24,0.99933,4.3638,0.64991,350.29024,0.68003,336.32283,1.10649,189.79281
41,Gen2W-25,0.99849,4.65633,0.62298,348.75822,0.67736,336.2812,1.09875,190.14315
42,Gen2W-5,0.99944,5.19041,0.62626,350.05411,0.68254,337.02708,1.09632,190.50329
43,Gen2W-6,0.99822,4.626,0.63473,349.41769,0.67986,335.85692,1.09636,190.20326
44,Gen3D-10,0.99723,5.21419,0.99173,4.7994,0.96677,347.12367,0.97495,222.73564
45,Gen3D-13,1.00098,5.46362,0.99616,5.09805,0.97326,347.52021,0.98388,223.03767
46,Gen3D-15,0.99715,5.47699,0.99046,4.98215,0.96453,347.13976,0.97469,222.82947
47,Gen3D-17,0.99349,4.7628,0.98822,4.35964,0.96359,346.68249,0.97319,222.27803
48,Gen3D-20,1.00126,6.34186,0.99684,6.02177,0.97495,348.58433,0.98549,224.04302
49,Gen3D-23,0.99638,5.41177,0.98975,4.92007,0.96358,347.08747,0.9742,222.76703
50,Gen3D-25,0.99478,5.48591,0.98724,4.93099,0.95948,346.96999,0.97341,222.68925
51,Gen3D-26,0.99784,5.56485,0.99123,5.07576,0.96533,347.24799,0.97647,222.91879
52,Gen3D-29,0.99563,5.62378,0.98796,5.06079,0.9601,347.08809,0.97464,222.80652
53,Gen3D-30,0.98896,5.10097,0.98046,4.47346,0.95028,346.36469,0.96639,222.15353
54,Gen3D-31,0.99536,5.29518,0.98873,4.80197,0.9624,346.95858,0.97323,222.6421
55,Gen3D-32,0.99369,5.15668,0.98691,4.6506,0.96017,346.76974,0.97172,222.4672
56,Gen3D-4,0.99982,5.75322,0.99336,5.27662,0.96708,347.48042,0.97662,223.14847
57,Gen3D-5,0.99832,5.59331,0.99186,5.11405,0.96578,347.30211,0.97629,222.96934
58,Gen3L-10,0.99156,6.37629,0.98496,5.91826,0.95799,348.27879,0.96585,223.85198
59,Gen3L-18,0.99793,6.99725,0.99136,6.54957,0.96501,348.97094,0.97191,224.52534
60,Gen3L-2,0.99472,6.78569,0.98725,6.27685,0.95994,348.54719,0.97013,224.14801
61,Gen3L-20,0.99962,7.43278,0.99309,6.99267,0.96732,349.45758,0.97356,224.999
62,Gen3L-21,0.99962,7.80925,0.99318,7.37923,0.96827,349.89324,0.97394,225.42005
63,Gen3L-22,0.99962,7.89976,0.99321,7.47282,0.9684,350.00029,0.9739,225.52274
64,Gen3L-26-1,0.99565,355.64869,0.99085,355.24504,0.96558,336.14014,0.97577,213.74306
