,Bs_Name,故障前节点电压幅值,故障前节点电压相角,故障中节点电压幅值1,故障中节点电压相角1,故障中节点电压幅值2,故障中节点电压相角2,故障后节点电压幅值,故障后节点电压相角
0,Gen1A-1,1.0,358.92264,0.99903,358.89422,0.99925,358.78495,0.99887,358.80293
1,Gen1A-10,0.99974,349.65935,0.99747,349.33084,0.98675,348.57311,1.00687,348.69644
2,Gen1A-11,1.0,349.68644,0.99783,349.37211,0.98758,348.5944,1.00701,348.71667
3,Gen1A-2,1.0,357.97005,0.99887,357.9187,0.99828,357.76523,0.99973,357.77351
4,Gen1A-3,1.0,359.33597,0.9991,359.31807,0.99957,359.23806,0.99844,359.25761
5,Gen1A-4,1.0,49.99998,0.99925,49.99527,1.00053,49.94089,0.99795,49.88591
6,Gen1A-5,1.0,349.94507,0.9977,349.60913,0.9876,348.81891,1.00717,349.01823
7,Gen1A-6,0.99873,349.07845,0.9965,348.74894,0.98543,347.96209,1.00594,348.11308
8,Gen1A-7,1.0,359.47023,0.9991,359.45197,0.99911,359.35811,0.99752,359.38775
9,Gen1A-8,0.99758,353.21166,0.99607,353.07756,0.99103,352.72559,0.99958,352.7254
10,Gen1A-9,0.99611,354.01638,0.99464,353.89538,0.99031,353.57632,0.99761,353.58101
11,Gen1B-1,1.00984,10.37858,1.00865,10.40852,1.00793,13.63271,1.01123,5.75574
12,Gen1B-11,0.99999,7.02756,0.99864,7.02053,0.99531,9.50807,1.00509,3.06886
13,Gen1B-12,0.99778,6.4718,0.99636,6.45795,0.99206,8.92947,1.00311,2.53971
14,Gen1B-13,1.00873,9.93964,1.00744,9.96765,1.00645,13.26472,1.01,5.26607
15,Gen1B-14,1.01203,10.20758,1.01064,10.23609,1.00923,13.66604,1.01273,5.42427
16,Gen1B-2,1.0082,9.40245,1.00704,9.42612,1.00597,12.43789,1.01026,4.96414
17,Gen1B-3,1.01278,14.30337,1.01188,14.35531,1.0126,17.84566,1.01197,9.39308
18,Gen1B-3-1,1.01278,14.30337,1.01188,14.35531,1.0126,17.84566,1.01197,9.39308
19,Gen1B-4,1.00976,10.24269,1.00853,10.27234,1.00777,13.53609,1.01105,5.59044
20,Gen1B-4-1,1.01738,9.32605,1.01618,9.34919,1.01494,12.39472,1.01948,4.86217
21,Gen1B-5,1.00709,9.03109,1.00558,9.05231,1.0037,12.47176,1.00833,4.27869
22,Gen1B-6,1.00616,8.66382,1.00455,8.68185,1.00217,12.13566,1.00717,3.8909
23,Gen1B-6-1,1.0065,8.94898,1.00495,8.96953,1.00301,12.43153,1.0078,4.16476
24,Gen1B-7,1.01203,10.20757,1.01064,10.23609,1.00923,13.66603,1.01273,5.42426
25,Gen2E-17,1.00083,358.47508,0.87911,357.88913,0.70662,17.66098,1.09617,348.25248
26,Gen2E-18,0.99988,358.55603,0.90034,358.13854,0.73473,15.68618,1.09674,349.57789
27,Gen2E-2,0.99958,358.89852,0.9086,358.59368,0.7526,14.46339,1.08739,351.53283
28,Gen2E-30,0.99954,358.06397,0.87987,357.43985,0.7047,17.15365,1.09333,347.90394
29,Gen2E-33,0.99956,357.34113,0.88895,356.69544,0.7117,15.02541,1.08879,347.96036
30,Gen2E-34,0.9996,358.89498,0.90833,358.58868,0.75349,14.4698,1.08913,351.52832
31,Gen2E-35,0.99738,357.34425,0.89655,356.80004,0.72283,13.80532,1.08468,348.78529
32,Gen2E-36,0.99783,357.35576,0.89204,356.75877,0.71565,14.57005,1.08893,348.17238
33,Gen2E-37,0.99961,357.77141,0.91984,357.37834,0.76515,11.438,1.07354,352.00582
34,Gen2E-5,0.99573,359.39226,0.85819,359.12902,0.69121,18.77552,1.07423,349.08234
35,Gen2E-7,0.99957,359.12245,0.90683,358.84683,0.74735,15.40153,1.08924,351.04457
36,Gen2W-1,0.99944,5.30047,0.68017,5.15643,0.6058,50.13669,1.0699,347.01115
37,Gen2W-11,0.99944,5.22766,0.67191,4.99632,0.60513,49.94256,1.07027,346.99576
38,Gen2W-12,0.99945,4.85749,0.69222,4.55577,0.6054,48.25447,1.07083,346.97287
39,Gen2W-21,0.99944,5.07524,0.67874,4.80595,0.60477,50.2897,1.07136,346.76167
40,Gen2W-24,0.99933,4.3638,0.68452,3.84648,0.6099,49.0351,1.07432,346.21562
41,Gen2W-25,0.99849,4.65633,0.65916,4.10168,0.60439,48.22037,1.07037,346.71752
42,Gen2W-5,0.99944,5.19041,0.67743,5.05934,0.61067,49.52501,1.06955,347.01494
43,Gen2W-6,0.99822,4.626,0.68243,4.22833,0.60531,47.25298,1.0696,346.91961
44,Gen3D-10,0.99723,5.21419,0.99324,4.94968,0.97578,359.13171,0.98631,48.90459
45,Gen3D-13,1.00098,5.46362,0.99751,5.22802,0.98154,359.41297,0.99339,49.23621
46,Gen3D-15,0.99715,5.47699,0.99227,5.16574,0.97298,359.3551,0.98515,48.91838
47,Gen3D-17,0.99349,4.7628,0.98967,4.50475,0.97224,358.67321,0.98386,48.4594
48,Gen3D-20,1.00126,6.34186,0.99808,6.13617,0.98284,0.3618,0.99409,50.25737
49,Gen3D-23,0.99638,5.41177,0.99155,5.10263,0.97214,359.29325,0.98393,48.85766
50,Gen3D-25,0.99478,5.48591,0.98927,5.14046,0.96786,359.34347,0.98013,48.71001
51,Gen3D-26,0.99784,5.56485,0.99303,5.25726,0.97373,359.45488,0.98562,49.0058
52,Gen3D-29,0.99563,5.62378,0.99002,5.27388,0.9684,359.48444,0.98074,48.81514
53,Gen3D-30,0.98896,5.10097,0.98273,4.71367,0.95886,358.90666,0.97107,48.11062
54,Gen3D-31,0.99536,5.29517,0.99052,4.98497,0.97097,359.17193,0.98285,48.73228
55,Gen3D-32,0.99369,5.15668,0.98875,4.83874,0.96869,359.02215,0.98083,48.54513
56,Gen3D-4,0.99982,5.75322,0.99511,5.4528,0.9762,359.65517,0.98676,49.24752
57,Gen3D-5,0.99832,5.59331,0.99361,5.29119,0.97453,359.48972,0.98576,49.06539
58,Gen3L-10,0.99156,6.37629,0.98673,6.09526,0.96815,0.38972,0.97677,50.09642
59,Gen3L-18,0.99793,6.99725,0.99312,6.72275,0.97521,1.03638,0.98341,50.78453
60,Gen3L-2,0.99472,6.78569,0.98924,6.47753,0.9695,0.78753,0.97894,50.31876
61,Gen3L-20,0.99962,7.43278,0.99485,7.16303,0.97744,1.48911,0.98555,51.27045
62,Gen3L-21,0.99962,7.80925,0.99492,7.54555,0.97806,1.87971,0.98674,51.71377
63,Gen3L-22,0.99962,7.89976,0.99494,7.63787,0.9782,1.97475,0.98685,51.82242
64,Gen3L-26-1,0.99565,355.64869,0.9916,355.369,0.97353,347.66938,0.98623,40.90362
65,Gen3L-27,0.99415,353.81379,0.98984,353.51522,0.96932,345.49557,0.98615,39.02416
66,Gen3L-29,0.99961,356.00317,0.99585,355.75215,0.97857,347.74116,0.99408,41.80784
67,Gen3L-3,0.99691,6.99597,0.99174,6.70435,0.97304,1.01852,0.98227,50.65847
68,Gen3L-30,0.99785,355.86609,0.99389,355.59258,0.97619,347.89948,0.98811,41.17464
69,Gen3L-31,0.99985,13.02897,0.99507,12.80212,0.99062,7.50096,0.97602,58.61803
70,Gen3L-32,0.99745,9.51904,0.99188,9.2307,0.98254,3.62801,0.97846,53.80292
71,Gen3L-33,0.99982,344.48599,0.98802,343.61753,0.94056,334.44128,0.99682,25.53959
72,Gen3L-34,1.00519,344.31499,0.98798,342.70317,0.94869,332.48766,1.0053,25.54977
73,Gen3L-35,1.00017,344.35753,0.99048,343.54,0.95443,333.65837,0.99997,27.32738
74,Gen3L-36,1.00967,350.7457,1.00377,350.35101,0.98962,340.50205,1.01431,36.05142
75,Gen3L-37,0.9999,358.11844,0.99578,357.83782,0.98062,350.65037,0.98916,43.18042
76,Gen3L-38,1.01988,348.04173,1.01363,347.58405,0.99903,337.74914,1.02461,32.64894
77,Gen3L-38-1,0.98956,344.33005,0.98152,343.68861,0.94555,334.10142,0.98846,27.45969
78,Gen3L-39,0.99124,6.30313,0.98612,6.00817,0.96675,0.30091,0.97608,49.92548
79,Gen3L-40,0.9912,353.17789,0.98681,352.87215,0.96549,344.75158,0.98391,38.38091
80,Gen3L-41,0.99411,358.3133,0.99012,358.0394,0.97649,350.85141,0.98351,43.47777
81,Gen3L-42,0.99075,337.41959,0.98101,336.3533,0.93711,325.814,1.0074,18.38253
82,Gen3L-49,0.99968,338.49818,0.9904,337.53066,0.9505,327.10492,1.02282,19.37617
83,Gen3L-57,0.99252,344.31218,0.98563,343.76995,0.95128,333.89979,0.99322,28.02561
84,Gen3L-58,0.99545,345.64471,0.98835,345.11082,0.95488,335.26834,0.99578,29.43669
85,Gen3L-59,0.99252,344.31218,0.98563,343.76995,0.95128,333.89979,0.99322,28.02561
86,Gen3L-6,0.99138,6.30404,0.98537,5.96611,0.96385,0.26258,0.97373,49.60761
87,Gen3L-60,0.99252,344.31218,0.98563,343.76995,0.95128,333.89979,0.99322,28.02561
88,Gen3L-61,0.99035,344.19758,0.9827,343.58025,0.94857,333.86228,0.99029,27.56605
89,Gen3L-62,0.99035,344.19758,0.9827,343.58025,0.94857,333.86228,0.99029,27.56605
90,Gen3L-63,0.99825,346.29287,0.9907,345.73143,0.95735,335.88737,0.9983,30.04544
91,Gen3L-64,0.99825,346.29287,0.9907,345.73143,0.95735,335.88737,0.9983,30.04544
92,Gen3L-65,0.99268,344.38733,0.98306,343.56979,0.94729,333.68817,0.99248,27.35717
93,Gen3L-66,0.99268,344.38733,0.98306,343.56979,0.94729,333.68817,0.99248,27.35717
94,Gen3L-67,0.99903,337.8537,0.98938,336.85884,0.94453,326.47716,1.01688,18.64184
