,Bs_Name,故障前节点电压幅值,故障前节点电压相角,故障中节点电压幅值1,故障中节点电压相角1,故障中节点电压幅值2,故障中节点电压相角2,故障后节点电压幅值,故障后节点电压相角
0,Gen1A-1,1.0,358.92264,0.99912,358.89555,0.99892,358.76065,0.9966,358.61407
1,Gen1A-10,0.99974,349.65935,0.99775,349.34529,0.98626,348.40612,1.00304,347.30242
2,Gen1A-11,1.0,349.68644,0.99809,349.38624,0.98713,348.42047,1.00341,347.30353
3,Gen1A-2,1.0,357.97005,0.99897,357.92102,0.9979,357.72875,0.997,357.48958
4,Gen1A-3,1.0,359.33597,0.99918,359.31894,0.99926,359.22101,0.99639,359.12459
5,Gen1A-4,1.0,49.99998,0.99932,49.99388,1.00026,49.93809,0.99646,49.88469
6,Gen1A-5,1.0,349.94507,0.99798,349.62351,0.98708,348.65076,1.00309,347.65809
7,Gen1A-6,0.99873,349.07845,0.99677,348.7638,0.985,347.78932,1.00214,346.70147
8,Gen1A-7,1.0,359.47023,0.99918,359.45289,0.9988,359.33806,0.99557,359.23348
9,Gen1A-8,0.99758,353.21166,0.99621,353.08403,0.99061,352.63911,0.99572,352.02672
10,Gen1A-9,0.99611,354.01638,0.99478,353.90113,0.98989,353.49816,0.99386,352.95621
11,Gen1B-1,1.00984,10.37858,1.0088,10.40931,1.00289,14.04201,1.00985,1.35476
12,Gen1B-11,0.99999,7.02756,0.99878,7.02195,0.99204,9.76134,1.00525,359.22831
13,Gen1B-12,0.99778,6.4718,0.9965,6.45978,0.98846,9.18454,1.00334,358.72167
14,Gen1B-13,1.00873,9.93964,1.0076,9.96903,1.00025,13.70072,1.0081,0.82588
15,Gen1B-14,1.01203,10.20758,1.01082,10.23795,1.00171,14.14241,1.00992,0.8946
16,Gen1B-2,1.0082,9.40245,1.00717,9.42678,1.00179,12.79358,1.00928,0.71599
17,Gen1B-3,1.01278,14.30337,1.012,14.35439,1.00913,18.28301,1.01009,4.72672
18,Gen1B-3-1,1.01278,14.30337,1.012,14.35439,1.00913,18.28301,1.01009,4.72672
19,Gen1B-4,1.00976,10.24269,1.00868,10.27337,1.00222,13.95868,1.00944,1.16617
20,Gen1B-4-1,1.01738,9.32605,1.01632,9.35001,1.01039,12.76125,1.01839,0.59359
21,Gen1B-5,1.00709,9.03109,1.00577,9.05509,0.99504,12.95624,1.0054,359.77971
22,Gen1B-6,1.00616,8.66382,1.00476,8.68519,0.99251,12.63371,1.00358,359.37761
23,Gen1B-6-1,1.0065,8.94898,1.00515,8.97258,0.99387,12.92996,1.00481,359.63994
24,Gen1B-7,1.01203,10.20757,1.01082,10.23795,1.00171,14.1424,1.00992,0.89459
25,Gen2E-17,1.00083,358.47508,0.89113,349.87385,0.68718,242.37926,1.00066,138.475
26,Gen2E-18,0.99988,358.55603,0.90782,351.59843,0.6878,245.61387,0.99994,137.10301
27,Gen2E-2,0.99958,358.89852,0.91406,352.63359,0.67939,249.41395,0.98693,135.43183
28,Gen2E-30,0.99954,358.06397,0.89262,349.57289,0.68472,242.03907,0.99863,138.03274
29,Gen2E-33,0.99956,357.34113,0.90049,349.41224,0.6786,242.28047,0.99184,136.45863
30,Gen2E-34,0.9996,358.89498,0.91377,352.6106,0.68087,249.394,0.98832,135.44811
31,Gen2E-35,0.99738,357.34425,0.90552,350.14714,0.67306,243.92898,0.98594,135.48062
32,Gen2E-36,0.99783,357.35576,0.90214,349.77971,0.67729,242.71582,0.99129,136.26598
33,Gen2E-37,0.99961,357.77141,0.92551,352.17492,0.67068,250.53346,0.97231,132.33004
34,Gen2E-5,0.99573,359.39226,0.87032,349.83169,0.68064,242.22365,0.98005,139.06972
